INSERT INTO BookCopy VALUES ('BC00001', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00080', 'GOOD', 'AVAILABLE', 'BK00087');
INSERT INTO BookCopy VALUES ('BC00081', 'GOOD', 'AVAILABLE', 'BK00103');
INSERT INTO BookCopy VALUES ('BC00082', 'GOOD', 'AVAILABLE', 'BK00068');
INSERT INTO BookCopy VALUES ('BC00083', 'GOOD', 'AVAILABLE', 'BK00105');
INSERT INTO BookCopy VALUES ('BC00084', 'GOOD', 'AVAILABLE', 'BK00055');
INSERT INTO BookCopy VALUES ('BC00085', 'GOOD', 'AVAILABLE', 'BK00092');
INSERT INTO BookCopy VALUES ('BC00086', 'GOOD', 'BORROWED', 'BK00002');
INSERT INTO BookCopy VALUES ('BC00087', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00088', 'GOOD', 'AVAILABLE', 'BK00032');
INSERT INTO BookCopy VALUES ('BC00089', 'HEAVYDMG', 'UNAVAILABLE', 'BK00094');
INSERT INTO BookCopy VALUES ('BC00090', 'GOOD', 'AVAILABLE', 'BK00074');
INSERT INTO BookCopy VALUES ('BC00091', 'GOOD', 'AVAILABLE', 'BK00122');
INSERT INTO BookCopy VALUES ('BC00092', 'GOOD', 'AVAILABLE', 'BK00009');
INSERT INTO BookCopy VALUES ('BC00093', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00094', 'GOOD', 'AVAILABLE', 'BK00058');
INSERT INTO BookCopy VALUES ('BC00095', 'GOOD', 'AVAILABLE', 'BK00039');
INSERT INTO BookCopy VALUES ('BC00096', 'GOOD', 'AVAILABLE', 'BK00138');
INSERT INTO BookCopy VALUES ('BC00097', 'GOOD', 'AVAILABLE', 'BK00091');
INSERT INTO BookCopy VALUES ('BC00098', 'GOOD', 'AVAILABLE', 'BK00001');
INSERT INTO BookCopy VALUES ('BC00099', 'GOOD', 'AVAILABLE', 'BK00095');
INSERT INTO BookCopy VALUES ('BC00100', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00101', 'GOOD', 'AVAILABLE', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00102', 'GOOD', 'AVAILABLE', 'BK00021');
INSERT INTO BookCopy VALUES ('BC00103', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00104', 'GOOD', 'AVAILABLE', 'BK00048');
INSERT INTO BookCopy VALUES ('BC00105', 'GOOD', 'AVAILABLE', 'BK00071');
INSERT INTO BookCopy VALUES ('BC00106', 'GOOD', 'AVAILABLE', 'BK00048');
INSERT INTO BookCopy VALUES ('BC00107', 'GOOD', 'AVAILABLE', 'BK00129');
INSERT INTO BookCopy VALUES ('BC00108', 'GOOD', 'RESERVED', 'BK00129');
INSERT INTO BookCopy VALUES ('BC00109', 'GOOD', 'AVAILABLE', 'BK00082');
INSERT INTO BookCopy VALUES ('BC00110', 'LOST', 'UNAVAILABLE', 'BK00033');
INSERT INTO BookCopy VALUES ('BC00111', 'GOOD', 'AVAILABLE', 'BK00089');
INSERT INTO BookCopy VALUES ('BC00112', 'GOOD', 'AVAILABLE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00113', 'GOOD', 'BORROWED', 'BK00082');
INSERT INTO BookCopy VALUES ('BC00114', 'GOOD', 'AVAILABLE', 'BK00128');
INSERT INTO BookCopy VALUES ('BC00115', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00116', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00117', 'GOOD', 'AVAILABLE', 'BK00037');
INSERT INTO BookCopy VALUES ('BC00118', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00119', 'GOOD', 'AVAILABLE', 'BK00042');
INSERT INTO BookCopy VALUES ('BC00120', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00121', 'GOOD', 'AVAILABLE', 'BK00008');
INSERT INTO BookCopy VALUES ('BC00122', 'GOOD', 'AVAILABLE', 'BK00130');
INSERT INTO BookCopy VALUES ('BC00123', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00124', 'GOOD', 'AVAILABLE', 'BK00088');
INSERT INTO BookCopy VALUES ('BC00125', 'GOOD', 'AVAILABLE', 'BK00145');
INSERT INTO BookCopy VALUES ('BC00126', 'GOOD', 'AVAILABLE', 'BK00099');
INSERT INTO BookCopy VALUES ('BC00127', 'GOOD', 'AVAILABLE', 'BK00053');
INSERT INTO BookCopy VALUES ('BC00128', 'LOST', 'UNAVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00129', 'GOOD', 'AVAILABLE', 'BK00009');
INSERT INTO BookCopy VALUES ('BC00130', 'GOOD', 'AVAILABLE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00131', 'GOOD', 'AVAILABLE', 'BK00017');
INSERT INTO BookCopy VALUES ('BC00132', 'GOOD', 'AVAILABLE', 'BK00024');
INSERT INTO BookCopy VALUES ('BC00133', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00134', 'GOOD', 'AVAILABLE', 'BK00082');
INSERT INTO BookCopy VALUES ('BC00135', 'GOOD', 'AVAILABLE', 'BK00139');
INSERT INTO BookCopy VALUES ('BC00136', 'GOOD', 'AVAILABLE', 'BK00021');
INSERT INTO BookCopy VALUES ('BC00137', 'GOOD', 'AVAILABLE', 'BK00131');
INSERT INTO BookCopy VALUES ('BC00138', 'HEAVYDMG', 'UNAVAILABLE', 'BK00019');
INSERT INTO BookCopy VALUES ('BC00139', 'GOOD', 'AVAILABLE', 'BK00123');
INSERT INTO BookCopy VALUES ('BC00140', 'HEAVYDMG', 'UNDERMAINTENANCE', 'BK00085');
INSERT INTO BookCopy VALUES ('BC00141', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00142', 'GOOD', 'AVAILABLE', 'BK00046');
INSERT INTO BookCopy VALUES ('BC00143', 'GOOD', 'AVAILABLE', 'BK00099');
INSERT INTO BookCopy VALUES ('BC00144', 'GOOD', 'AVAILABLE', 'BK00126');
INSERT INTO BookCopy VALUES ('BC00145', 'GOOD', 'AVAILABLE', 'BK00109');
INSERT INTO BookCopy VALUES ('BC00146', 'GOOD', 'AVAILABLE', 'BK00144');
INSERT INTO BookCopy VALUES ('BC00147', 'LOST', 'UNAVAILABLE', 'BK00135');
INSERT INTO BookCopy VALUES ('BC00148', 'GOOD', 'AVAILABLE', 'BK00135');
INSERT INTO BookCopy VALUES ('BC00149', 'GOOD', 'AVAILABLE', 'BK00023');
INSERT INTO BookCopy VALUES ('BC00150', 'GOOD', 'BORROWED', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00151', 'GOOD', 'AVAILABLE', 'BK00098');
INSERT INTO BookCopy VALUES ('BC00152', 'GOOD', 'AVAILABLE', 'BK00081');
INSERT INTO BookCopy VALUES ('BC00153', 'GOOD', 'AVAILABLE', 'BK00132');
INSERT INTO BookCopy VALUES ('BC00154', 'LOST', 'UNAVAILABLE', 'BK00139');
INSERT INTO BookCopy VALUES ('BC00155', 'LOST', 'UNAVAILABLE', 'BK00038');
INSERT INTO BookCopy VALUES ('BC00156', 'GOOD', 'AVAILABLE', 'BK00147');
INSERT INTO BookCopy VALUES ('BC00157', 'GOOD', 'AVAILABLE', 'BK00115');
INSERT INTO BookCopy VALUES ('BC00158', 'GOOD', 'AVAILABLE', 'BK00106');
INSERT INTO BookCopy VALUES ('BC00159', 'GOOD', 'AVAILABLE', 'BK00062');
INSERT INTO BookCopy VALUES ('BC00160', 'GOOD', 'AVAILABLE', 'BK00129');
INSERT INTO BookCopy VALUES ('BC00161', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00162', 'GOOD', 'AVAILABLE', 'BK00017');
INSERT INTO BookCopy VALUES ('BC00163', 'LOST', 'UNAVAILABLE', 'BK00121');
INSERT INTO BookCopy VALUES ('BC00164', 'GOOD', 'AVAILABLE', 'BK00061');
INSERT INTO BookCopy VALUES ('BC00165', 'GOOD', 'AVAILABLE', 'BK00053');
INSERT INTO BookCopy VALUES ('BC00166', 'GOOD', 'AVAILABLE', 'BK00006');
INSERT INTO BookCopy VALUES ('BC00167', 'GOOD', 'AVAILABLE', 'BK00090');
INSERT INTO BookCopy VALUES ('BC00168', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00169', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00170', 'GOOD', 'AVAILABLE', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00171', 'GOOD', 'AVAILABLE', 'BK00127');
INSERT INTO BookCopy VALUES ('BC00172', 'GOOD', 'RESERVED', 'BK00080');
INSERT INTO BookCopy VALUES ('BC00173', 'GOOD', 'AVAILABLE', 'BK00090');
INSERT INTO BookCopy VALUES ('BC00174', 'GOOD', 'AVAILABLE', 'BK00150');
INSERT INTO BookCopy VALUES ('BC00175', 'GOOD', 'AVAILABLE', 'BK00079');
INSERT INTO BookCopy VALUES ('BC00176', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00177', 'GOOD', 'AVAILABLE', 'BK00111');
INSERT INTO BookCopy VALUES ('BC00178', 'GOOD', 'BORROWED', 'BK00086');
INSERT INTO BookCopy VALUES ('BC00179', 'GOOD', 'AVAILABLE', 'BK00043');
INSERT INTO BookCopy VALUES ('BC00180', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00181', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00182', 'GOOD', 'BORROWED', 'BK00016');
INSERT INTO BookCopy VALUES ('BC00183', 'GOOD', 'AVAILABLE', 'BK00075');
INSERT INTO BookCopy VALUES ('BC00184', 'GOOD', 'AVAILABLE', 'BK00093');
INSERT INTO BookCopy VALUES ('BC00185', 'GOOD', 'AVAILABLE', 'BK00094');
INSERT INTO BookCopy VALUES ('BC00186', 'GOOD', 'AVAILABLE', 'BK00031');
INSERT INTO BookCopy VALUES ('BC00187', 'GOOD', 'AVAILABLE', 'BK00136');
INSERT INTO BookCopy VALUES ('BC00188', 'GOOD', 'AVAILABLE', 'BK00119');
INSERT INTO BookCopy VALUES ('BC00189', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00190', 'GOOD', 'AVAILABLE', 'BK00058');
INSERT INTO BookCopy VALUES ('BC00191', 'GOOD', 'AVAILABLE', 'BK00032');
INSERT INTO BookCopy VALUES ('BC00192', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00193', 'HEAVYDMG', 'UNAVAILABLE', 'BK00141');
INSERT INTO BookCopy VALUES ('BC00194', 'GOOD', 'AVAILABLE', 'BK00030');
INSERT INTO BookCopy VALUES ('BC00195', 'GOOD', 'AVAILABLE', 'BK00097');
INSERT INTO BookCopy VALUES ('BC00196', 'GOOD', 'AVAILABLE', 'BK00119');
INSERT INTO BookCopy VALUES ('BC00197', 'HEAVYDMG', 'UNAVAILABLE', 'BK00017');
INSERT INTO BookCopy VALUES ('BC00198', 'GOOD', 'RESERVED', 'BK00011');
INSERT INTO BookCopy VALUES ('BC00199', 'GOOD', 'AVAILABLE', 'BK00139');
INSERT INTO BookCopy VALUES ('BC00200', 'GOOD', 'AVAILABLE', 'BK00069');
INSERT INTO BookCopy VALUES ('BC00201', 'GOOD', 'RESERVED', 'BK00071');
INSERT INTO BookCopy VALUES ('BC00202', 'GOOD', 'AVAILABLE', 'BK00109');
INSERT INTO BookCopy VALUES ('BC00203', 'GOOD', 'AVAILABLE', 'BK00026');
INSERT INTO BookCopy VALUES ('BC00204', 'GOOD', 'AVAILABLE', 'BK00081');
INSERT INTO BookCopy VALUES ('BC00205', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00206', 'GOOD', 'AVAILABLE', 'BK00064');
INSERT INTO BookCopy VALUES ('BC00207', 'GOOD', 'AVAILABLE', 'BK00088');
INSERT INTO BookCopy VALUES ('BC00208', 'GOOD', 'BORROWED', 'BK00023');
INSERT INTO BookCopy VALUES ('BC00209', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00210', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00211', 'GOOD', 'AVAILABLE', 'BK00015');
INSERT INTO BookCopy VALUES ('BC00212', 'GOOD', 'AVAILABLE', 'BK00004');
INSERT INTO BookCopy VALUES ('BC00213', 'LOST', 'UNAVAILABLE', 'BK00073');
INSERT INTO BookCopy VALUES ('BC00214', 'GOOD', 'AVAILABLE', 'BK00055');
INSERT INTO BookCopy VALUES ('BC00215', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00216', 'GOOD', 'AVAILABLE', 'BK00084');
INSERT INTO BookCopy VALUES ('BC00217', 'HEAVYDMG', 'UNAVAILABLE', 'BK00048');
INSERT INTO BookCopy VALUES ('BC00218', 'GOOD', 'AVAILABLE', 'BK00041');
INSERT INTO BookCopy VALUES ('BC00219', 'GOOD', 'AVAILABLE', 'BK00012');
INSERT INTO BookCopy VALUES ('BC00220', 'GOOD', 'AVAILABLE', 'BK00084');
INSERT INTO BookCopy VALUES ('BC00221', 'GOOD', 'AVAILABLE', 'BK00035');
INSERT INTO BookCopy VALUES ('BC00222', 'GOOD', 'AVAILABLE', 'BK00084');
INSERT INTO BookCopy VALUES ('BC00223', 'GOOD', 'AVAILABLE', 'BK00012');
INSERT INTO BookCopy VALUES ('BC00224', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00225', 'GOOD', 'AVAILABLE', 'BK00037');
INSERT INTO BookCopy VALUES ('BC00226', 'GOOD', 'AVAILABLE', 'BK00065');
INSERT INTO BookCopy VALUES ('BC00227', 'LOST', 'UNAVAILABLE', 'BK00068');
INSERT INTO BookCopy VALUES ('BC00228', 'GOOD', 'AVAILABLE', 'BK00038');
INSERT INTO BookCopy VALUES ('BC00229', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00230', 'GOOD', 'AVAILABLE', 'BK00099');
INSERT INTO BookCopy VALUES ('BC00231', 'LOST', 'UNAVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00232', 'GOOD', 'AVAILABLE', 'BK00090');
INSERT INTO BookCopy VALUES ('BC00233', 'HEAVYDMG', 'UNAVAILABLE', 'BK00112');
INSERT INTO BookCopy VALUES ('BC00234', 'GOOD', 'AVAILABLE', 'BK00083');
INSERT INTO BookCopy VALUES ('BC00235', 'GOOD', 'AVAILABLE', 'BK00061');
INSERT INTO BookCopy VALUES ('BC00236', 'GOOD', 'RESERVED', 'BK00131');
INSERT INTO BookCopy VALUES ('BC00237', 'GOOD', 'AVAILABLE', 'BK00077');
INSERT INTO BookCopy VALUES ('BC00238', 'GOOD', 'AVAILABLE', 'BK00020');
INSERT INTO BookCopy VALUES ('BC00239', 'GOOD', 'AVAILABLE', 'BK00015');
INSERT INTO BookCopy VALUES ('BC00240', 'GOOD', 'AVAILABLE', 'BK00083');
INSERT INTO BookCopy VALUES ('BC00241', 'GOOD', 'AVAILABLE', 'BK00034');
INSERT INTO BookCopy VALUES ('BC00242', 'GOOD', 'AVAILABLE', 'BK00088');
INSERT INTO BookCopy VALUES ('BC00243', 'GOOD', 'AVAILABLE', 'BK00037');
INSERT INTO BookCopy VALUES ('BC00244', 'GOOD', 'AVAILABLE', 'BK00115');
INSERT INTO BookCopy VALUES ('BC00245', 'GOOD', 'AVAILABLE', 'BK00075');
INSERT INTO BookCopy VALUES ('BC00246', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00247', 'GOOD', 'RESERVED', 'BK00033');
INSERT INTO BookCopy VALUES ('BC00248', 'GOOD', 'AVAILABLE', 'BK00093');
INSERT INTO BookCopy VALUES ('BC00249', 'GOOD', 'AVAILABLE', 'BK00136');
INSERT INTO BookCopy VALUES ('BC00250', 'GOOD', 'AVAILABLE', 'BK00062');
INSERT INTO BookCopy VALUES ('BC00251', 'GOOD', 'AVAILABLE', 'BK00020');
INSERT INTO BookCopy VALUES ('BC00252', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00253', 'GOOD', 'BORROWED', 'BK00052');
INSERT INTO BookCopy VALUES ('BC00254', 'GOOD', 'AVAILABLE', 'BK00127');
INSERT INTO BookCopy VALUES ('BC00255', 'GOOD', 'AVAILABLE', 'BK00049');
INSERT INTO BookCopy VALUES ('BC00256', 'GOOD', 'AVAILABLE', 'BK00095');
INSERT INTO BookCopy VALUES ('BC00257', 'GOOD', 'AVAILABLE', 'BK00076');
INSERT INTO BookCopy VALUES ('BC00258', 'GOOD', 'AVAILABLE', 'BK00005');
INSERT INTO BookCopy VALUES ('BC00259', 'GOOD', 'AVAILABLE', 'BK00075');
INSERT INTO BookCopy VALUES ('BC00260', 'GOOD', 'AVAILABLE', 'BK00126');
INSERT INTO BookCopy VALUES ('BC00261', 'GOOD', 'AVAILABLE', 'BK00039');
INSERT INTO BookCopy VALUES ('BC00262', 'GOOD', 'AVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00263', 'GOOD', 'AVAILABLE', 'BK00110');
INSERT INTO BookCopy VALUES ('BC00264', 'GOOD', 'AVAILABLE', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00265', 'GOOD', 'AVAILABLE', 'BK00013');
INSERT INTO BookCopy VALUES ('BC00266', 'GOOD', 'AVAILABLE', 'BK00030');
INSERT INTO BookCopy VALUES ('BC00267', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00268', 'LOST', 'UNAVAILABLE', 'BK00099');
INSERT INTO BookCopy VALUES ('BC00269', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00270', 'GOOD', 'AVAILABLE', 'BK00115');
INSERT INTO BookCopy VALUES ('BC00271', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00272', 'GOOD', 'AVAILABLE', 'BK00061');
INSERT INTO BookCopy VALUES ('BC00273', 'GOOD', 'AVAILABLE', 'BK00081');
INSERT INTO BookCopy VALUES ('BC00274', 'GOOD', 'AVAILABLE', 'BK00044');
INSERT INTO BookCopy VALUES ('BC00275', 'GOOD', 'AVAILABLE', 'BK00093');
INSERT INTO BookCopy VALUES ('BC00276', 'GOOD', 'AVAILABLE', 'BK00005');
INSERT INTO BookCopy VALUES ('BC00277', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00278', 'GOOD', 'AVAILABLE', 'BK00053');
INSERT INTO BookCopy VALUES ('BC00279', 'GOOD', 'AVAILABLE', 'BK00123');
INSERT INTO BookCopy VALUES ('BC00280', 'GOOD', 'AVAILABLE', 'BK00078');
INSERT INTO BookCopy VALUES ('BC00281', 'GOOD', 'BORROWED', 'BK00083');
INSERT INTO BookCopy VALUES ('BC00282', 'HEAVYDMG', 'UNAVAILABLE', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00283', 'GOOD', 'AVAILABLE', 'BK00126');
INSERT INTO BookCopy VALUES ('BC00284', 'GOOD', 'AVAILABLE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00285', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00286', 'GOOD', 'AVAILABLE', 'BK00029');
INSERT INTO BookCopy VALUES ('BC00287', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00288', 'GOOD', 'BORROWED', 'BK00092');
INSERT INTO BookCopy VALUES ('BC00289', 'GOOD', 'AVAILABLE', 'BK00094');
