INSERT INTO BorrowDetails VALUES ('BR00001', 'BC00036', TO_DATE('2019-01-17', 'YYYY-MM-DD'), TO_DATE(' 2019-01-17', 'YYYY-MM-DD'), TO_DATE('2019-01-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00013', 'BC00323', TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-05-31', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00013', 'BC00352', TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-05-31', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00014', 'BC00230', TO_DATE('2019-06-11', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-14', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00014', 'BC00179', TO_DATE('2019-06-11', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-14', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00015', 'BC00250', TO_DATE('2019-06-11', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-20', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00018');
INSERT INTO BorrowDetails VALUES ('BR00016', 'BC00210', TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00016', 'BC00128', TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00016');
INSERT INTO BorrowDetails VALUES ('BR00016', 'BC00216', TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00017');
INSERT INTO BorrowDetails VALUES ('BR00017', 'BC00420', TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00017', 'BC00474', TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00017', 'BC00165', TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-18', 'YYYY-MM-DD'), TO_DATE('2019-06-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00018', 'BC00377', TO_DATE('2019-07-02', 'YYYY-MM-DD'), TO_DATE('2019-07-02', 'YYYY-MM-DD'), TO_DATE('2019-07-09', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00019');
INSERT INTO BorrowDetails VALUES ('BR00018', 'BC00139', TO_DATE('2019-07-02', 'YYYY-MM-DD'), TO_DATE('2019-07-02', 'YYYY-MM-DD'), TO_DATE('2019-07-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00019', 'BC00280', TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00020');
INSERT INTO BorrowDetails VALUES ('BR00019', 'BC00248', TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00019', 'BC00188', TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00019', 'BC00145', TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00019', 'BC00415', TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), TO_DATE('2019-07-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00020', 'BC00462', TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-18', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00020', 'BC00146', TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-18', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00022');
INSERT INTO BorrowDetails VALUES ('BR00020', 'BC00037', TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-21', 'YYYY-MM-DD'), TO_DATE('2019-07-18', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00021', 'BC00084', TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00021', 'BC00029', TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00021', 'BC00171', TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-24', 'YYYY-MM-DD'), TO_DATE('2019-07-22', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00024');
INSERT INTO BorrowDetails VALUES ('BR00022', 'BC00008', TO_DATE('2019-08-03', 'YYYY-MM-DD'), TO_DATE('2019-08-03', 'YYYY-MM-DD'), TO_DATE('2019-08-01', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00023', 'BC00137', TO_DATE('2019-08-26', 'YYYY-MM-DD'), TO_DATE('2019-08-26', 'YYYY-MM-DD'), TO_DATE('2019-08-24', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00024', 'BC00194', TO_DATE('2019-08-31', 'YYYY-MM-DD'), TO_DATE('2019-08-31', 'YYYY-MM-DD'), TO_DATE('2019-08-30', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00025', 'BC00266', TO_DATE('2019-09-04', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), TO_DATE('2019-09-02', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00025', 'BC00329', TO_DATE('2019-09-04', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), TO_DATE('2019-09-02', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00161', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-10', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00026');
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00335', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00425', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-22', 'YYYY-MM-DD'), 'LOST', 'LATERETURN', 'FN00027');
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00391', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00368', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00026', 'BC00261', TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-08', 'YYYY-MM-DD'), TO_DATE('2019-09-04', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00027', 'BC00262', TO_DATE('2019-09-20', 'YYYY-MM-DD'), TO_DATE('2019-09-20', 'YYYY-MM-DD'), TO_DATE('2019-09-24', 'YYYY-MM-DD'), 'GOOD', 'LATERETURN', 'FN00029');
INSERT INTO BorrowDetails VALUES ('BR00028', 'BC00145', TO_DATE('2019-09-25', 'YYYY-MM-DD'), TO_DATE('2019-09-25', 'YYYY-MM-DD'), TO_DATE('2019-09-21', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00028', 'BC00399', TO_DATE('2019-09-25', 'YYYY-MM-DD'), TO_DATE('2019-09-25', 'YYYY-MM-DD'), TO_DATE('2019-09-21', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00029', 'BC00480', TO_DATE('2019-09-30', 'YYYY-MM-DD'), TO_DATE('2019-10-07', 'YYYY-MM-DD'), TO_DATE('2019-10-03', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00030', 'BC00404', TO_DATE('2019-10-05', 'YYYY-MM-DD'), TO_DATE('2019-10-05', 'YYYY-MM-DD'), TO_DATE('2019-10-19', 'YYYY-MM-DD'), 'LOST', 'LATERETURN', 'FN00032');
INSERT INTO BorrowDetails VALUES ('BR00031', 'BC00331', TO_DATE('2019-10-12', 'YYYY-MM-DD'), TO_DATE('2019-10-12', 'YYYY-MM-DD'), TO_DATE('2019-10-10', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00032', 'BC00360', TO_DATE('2019-10-17', 'YYYY-MM-DD'), TO_DATE('2019-10-17', 'YYYY-MM-DD'), TO_DATE('2019-10-11', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00032', 'BC00199', TO_DATE('2019-10-17', 'YYYY-MM-DD'), TO_DATE('2019-10-17', 'YYYY-MM-DD'), TO_DATE('2019-10-11', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00033', 'BC00093', TO_DATE('2019-10-26', 'YYYY-MM-DD'), TO_DATE('2019-10-26', 'YYYY-MM-DD'), TO_DATE('2019-10-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00034', 'BC00434', TO_DATE('2019-11-03', 'YYYY-MM-DD'), TO_DATE('2019-11-03', 'YYYY-MM-DD'), TO_DATE('2019-11-02', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00033');
INSERT INTO BorrowDetails VALUES ('BR00035', 'BC00472', TO_DATE('2019-11-08', 'YYYY-MM-DD'), TO_DATE('2019-11-08', 'YYYY-MM-DD'), TO_DATE('2019-11-02', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00099', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-24', 'YYYY-MM-DD'), TO_DATE('2019-11-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00069', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00040', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-24', 'YYYY-MM-DD'), TO_DATE('2019-11-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00489', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00034');
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00200', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-10', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00036', 'BC00233', TO_DATE('2019-11-10', 'YYYY-MM-DD'), TO_DATE('2019-11-24', 'YYYY-MM-DD'), TO_DATE('2019-11-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00037', 'BC00079', TO_DATE('2019-11-14', 'YYYY-MM-DD'), TO_DATE('2019-11-14', 'YYYY-MM-DD'), TO_DATE('2019-11-09', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00038', 'BC00092', TO_DATE('2019-11-21', 'YYYY-MM-DD'), TO_DATE('2019-11-21', 'YYYY-MM-DD'), TO_DATE('2019-11-16', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00036');
INSERT INTO BorrowDetails VALUES ('BR00039', 'BC00047', TO_DATE('2019-11-21', 'YYYY-MM-DD'), TO_DATE('2019-11-21', 'YYYY-MM-DD'), TO_DATE('2019-11-20', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00040', 'BC00444', TO_DATE('2019-11-28', 'YYYY-MM-DD'), TO_DATE('2019-11-28', 'YYYY-MM-DD'), TO_DATE('2019-12-01', 'YYYY-MM-DD'), 'GOOD', 'LATERETURN', 'FN00038');
INSERT INTO BorrowDetails VALUES ('BR00041', 'BC00077', TO_DATE('2019-12-12', 'YYYY-MM-DD'), TO_DATE('2019-12-12', 'YYYY-MM-DD'), TO_DATE('2019-12-08', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00041', 'BC00354', TO_DATE('2019-12-12', 'YYYY-MM-DD'), TO_DATE('2019-12-12', 'YYYY-MM-DD'), TO_DATE('2019-12-08', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00039');
INSERT INTO BorrowDetails VALUES ('BR00042', 'BC00400', TO_DATE('2019-12-26', 'YYYY-MM-DD'), TO_DATE('2019-12-26', 'YYYY-MM-DD'), TO_DATE('2019-12-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00043', 'BC00014', TO_DATE('2019-12-28', 'YYYY-MM-DD'), TO_DATE('2019-12-28', 'YYYY-MM-DD'), TO_DATE('2019-12-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00044', 'BC00009', TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00044', 'BC00247', TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00044', 'BC00189', TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-16', 'YYYY-MM-DD'), TO_DATE('2020-01-13', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00045', 'BC00056', TO_DATE('2020-04-30', 'YYYY-MM-DD'), TO_DATE('2020-04-30', 'YYYY-MM-DD'), TO_DATE('2020-05-02', 'YYYY-MM-DD'), 'LIGHTDMG', 'LATERETURN', 'FN00045');
INSERT INTO BorrowDetails VALUES ('BR00046', 'BC00048', TO_DATE('2020-05-06', 'YYYY-MM-DD'), TO_DATE('2020-05-06', 'YYYY-MM-DD'), TO_DATE('2020-05-02', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00047', 'BC00213', TO_DATE('2020-05-09', 'YYYY-MM-DD'), TO_DATE('2020-05-09', 'YYYY-MM-DD'), TO_DATE('2020-05-08', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00046');
INSERT INTO BorrowDetails VALUES ('BR00047', 'BC00115', TO_DATE('2020-05-09', 'YYYY-MM-DD'), TO_DATE('2020-05-09', 'YYYY-MM-DD'), TO_DATE('2020-05-08', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00047');
INSERT INTO BorrowDetails VALUES ('BR00048', 'BC00296', TO_DATE('2020-06-10', 'YYYY-MM-DD'), TO_DATE('2020-06-10', 'YYYY-MM-DD'), TO_DATE('2020-06-07', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00048', 'BC00317', TO_DATE('2020-06-10', 'YYYY-MM-DD'), TO_DATE('2020-06-10', 'YYYY-MM-DD'), TO_DATE('2020-06-07', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00449', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00289', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-30', 'YYYY-MM-DD'), TO_DATE('2020-06-28', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00108', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00114', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-16', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00051');
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00452', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00078', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00052');
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00046', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00378', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00049', 'BC00141', TO_DATE('2020-06-16', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), TO_DATE('2020-06-23', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00053');
