INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00001','CASH',TO_DATE('2019-02-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00021','CASH',TO_DATE('2019-06-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00022','BANK',TO_DATE('2019-07-16', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00023','CASH',TO_DATE('2019-07-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00024','E-WALLET',TO_DATE('2019-07-22', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00025','CARD',TO_DATE('2019-07-23', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00026','BANK',TO_DATE('2019-07-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00027','BANK',TO_DATE('2019-07-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00028','E-WALLET',TO_DATE('2019-07-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00029','CASH',TO_DATE('2019-08-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00030','BANK',TO_DATE('2019-08-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00031','CASH',TO_DATE('2019-09-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00032','BANK',TO_DATE('2019-09-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00033','CASH',TO_DATE('2019-09-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00034','E-WALLET',TO_DATE('2019-09-28', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00035','CARD',TO_DATE('2019-10-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00036','BANK',TO_DATE('2019-10-23', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00037','BANK',TO_DATE('2019-10-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00038','E-WALLET',TO_DATE('2019-10-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00039','CASH',TO_DATE('2019-10-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00040','CASH',TO_DATE('2019-11-06', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00041','E-WALLET',TO_DATE('2019-11-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00042','CARD',TO_DATE('2019-11-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00043','BANK',TO_DATE('2019-11-29', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00044','BANK',TO_DATE('2019-11-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00045','E-WALLET',TO_DATE('2019-12-02', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00046','CASH',TO_DATE('2019-12-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00047','CASH',TO_DATE('2019-12-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00048','BANK',TO_DATE('2019-12-12', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00049','CASH',TO_DATE('2019-12-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00050','E-WALLET',TO_DATE('2019-12-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00051','CARD',TO_DATE('2020-03-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00052','BANK',TO_DATE('2020-03-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00053','BANK',TO_DATE('2020-03-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00054','CASH',TO_DATE('2020-03-28', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00055','E-WALLET',TO_DATE('2020-03-29', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00056','CARD',TO_DATE('2020-04-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00057','BANK',TO_DATE('2020-04-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00058','BANK',TO_DATE('2020-04-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00059','E-WALLET',TO_DATE('2020-05-06', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00060','CASH',TO_DATE('2020-05-12', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00061','BANK',TO_DATE('2020-05-12', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00062','CASH',TO_DATE('2020-05-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00063','CASH',TO_DATE('2020-05-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00064','E-WALLET',TO_DATE('2020-06-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00065','CARD',TO_DATE('2020-06-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00066','BANK',TO_DATE('2020-06-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00067','BANK',TO_DATE('2020-06-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00068','E-WALLET',TO_DATE('2020-06-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00069','CASH',TO_DATE('2020-07-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00070','BANK',TO_DATE('2020-07-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00071','CASH',TO_DATE('2020-07-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00072','BANK',TO_DATE('2020-07-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00073','BANK',TO_DATE('2020-08-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00074','E-WALLET',TO_DATE('2020-09-16', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00075','CASH',TO_DATE('2020-09-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00076','BANK',TO_DATE('2020-09-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00077','CASH',TO_DATE('2020-09-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00078','E-WALLET',TO_DATE('2020-09-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00079','CARD',TO_DATE('2020-09-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00080','BANK',TO_DATE('2020-09-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00081','BANK',TO_DATE('2020-10-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00082','E-WALLET',TO_DATE('2020-10-09', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00083','CASH',TO_DATE('2020-11-04', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00084','CASH',TO_DATE('2020-11-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00085','E-WALLET',TO_DATE('2020-11-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00086','CARD',TO_DATE('2020-11-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00087','BANK',TO_DATE('2020-12-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00088','BANK',TO_DATE('2020-12-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00089','E-WALLET',TO_DATE('2020-12-22', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00090','CASH',TO_DATE('2021-01-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00091','BANK',TO_DATE('2021-01-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00092','CASH',TO_DATE('2021-01-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00093','CASH',TO_DATE('2021-01-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00094','E-WALLET',TO_DATE('2021-01-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00095','CARD',TO_DATE('2021-01-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00096','BANK',TO_DATE('2021-02-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00097','BANK',TO_DATE('2021-02-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00098','CASH',TO_DATE('2021-02-28', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00099','E-WALLET',TO_DATE('2021-03-07', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00100','CARD',TO_DATE('2021-04-07', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00101','BANK',TO_DATE('2021-04-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00102','BANK',TO_DATE('2021-04-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00103','E-WALLET',TO_DATE('2021-04-18', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00104','CASH',TO_DATE('2021-05-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00105','CASH',TO_DATE('2021-05-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00106','E-WALLET',TO_DATE('2021-05-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00107','CARD',TO_DATE('2021-05-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00108','BANK',TO_DATE('2021-05-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00109','BANK',TO_DATE('2021-05-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00110','E-WALLET',TO_DATE('2021-05-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00111','CASH',TO_DATE('2021-05-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00112','BANK',TO_DATE('2021-06-07', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00113','CASH',TO_DATE('2021-06-09', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00114','E-WALLET',TO_DATE('2021-06-23', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00115','CARD',TO_DATE('2021-07-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00116','BANK',TO_DATE('2021-07-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00117','BANK',TO_DATE('2021-07-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00118','E-WALLET',TO_DATE('2021-08-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00119','CASH',TO_DATE('2021-08-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00120','BANK',TO_DATE('2021-08-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00121','CASH',TO_DATE('2021-08-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00122','CASH',TO_DATE('2021-08-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00123','E-WALLET',TO_DATE('2021-08-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00124','CARD',TO_DATE('2021-08-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00125','BANK',TO_DATE('2021-09-06', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00126','BANK',TO_DATE('2021-09-06', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00127','E-WALLET',TO_DATE('2021-09-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00128','CASH',TO_DATE('2021-09-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00129','CASH',TO_DATE('2021-09-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00130','E-WALLET',TO_DATE('2021-09-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00131','CARD',TO_DATE('2021-10-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00132','BANK',TO_DATE('2021-10-18', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00133','BANK',TO_DATE('2021-10-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00134','E-WALLET',TO_DATE('2021-10-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00135','CASH',TO_DATE('2021-10-24', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00136','BANK',TO_DATE('2021-10-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00137','CASH',TO_DATE('2021-11-02', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00138','CASH',TO_DATE('2021-11-02', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00139','CARD',TO_DATE('2021-11-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00140','BANK',TO_DATE('2021-11-16', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00141','BANK',TO_DATE('2021-12-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00142','E-WALLET',TO_DATE('2021-12-04', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00143','CASH',TO_DATE('2021-12-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00144','BANK',TO_DATE('2021-12-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00145','CASH',TO_DATE('2021-12-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00146','BANK',TO_DATE('2021-12-20', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00147','CASH',TO_DATE('2021-12-22', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00148','CASH',TO_DATE('2021-12-22', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00149','E-WALLET',TO_DATE('2021-12-23', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00150','CARD',TO_DATE('2021-12-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00151','BANK',TO_DATE('2022-01-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00152','BANK',TO_DATE('2022-01-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00153','E-WALLET',TO_DATE('2022-01-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00154','CASH',TO_DATE('2022-02-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00155','BANK',TO_DATE('2022-02-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00156','CASH',TO_DATE('2022-02-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00157','BANK',TO_DATE('2022-02-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00158','BANK',TO_DATE('2022-02-28', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00159','E-WALLET',TO_DATE('2022-03-04', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00160','CASH',TO_DATE('2022-03-18', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00161','E-WALLET',TO_DATE('2022-03-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00162','CARD',TO_DATE('2022-03-21', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00163','BANK',TO_DATE('2022-03-31', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00164','BANK',TO_DATE('2022-04-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00165','E-WALLET',TO_DATE('2022-04-08', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00166','CASH',TO_DATE('2022-04-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00167','CASH',TO_DATE('2022-04-11', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00168','CASH',TO_DATE('2022-04-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00169','E-WALLET',TO_DATE('2022-04-18', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00170','CARD',TO_DATE('2022-04-25', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00171','BANK',TO_DATE('2022-05-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00172','BANK',TO_DATE('2022-05-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00173','E-WALLET',TO_DATE('2022-05-12', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00174','CASH',TO_DATE('2022-05-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00175','BANK',TO_DATE('2022-05-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00176','CASH',TO_DATE('2022-05-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00177','E-WALLET',TO_DATE('2022-05-18', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00178','CARD',TO_DATE('2022-05-22', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00179','BANK',TO_DATE('2022-05-26', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00180','BANK',TO_DATE('2022-05-30', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00181','E-WALLET',TO_DATE('2022-06-21', 'YYYY-MM-DD'));
