INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00001','BOOKFINE','CONDITION',TO_DATE('2019-02-01', 'YYYY-MM-DD'),TO_DATE('2019-02-08', 'YYYY-MM-DD'),15.48,0.00,15.48,'SETTLED','PY00001');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00012','BOOKFINE','CONDITION',TO_DATE('2019-05-06', 'YYYY-MM-DD'),TO_DATE('2019-05-13', 'YYYY-MM-DD'),10.37,1.00,9.37,'SETTLED','PY00014');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00013','ROOMFINE','CONDITION',TO_DATE('2019-05-10', 'YYYY-MM-DD'),TO_DATE('2019-05-17', 'YYYY-MM-DD'),100.00,1.00,99.00,'SETTLED','PY00015');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00014','ROOMFINE','CONDITION',TO_DATE('2019-05-29', 'YYYY-MM-DD'),TO_DATE('2019-06-05', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00016');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00015','ROOMFINE','CONDITION',TO_DATE('2019-06-08', 'YYYY-MM-DD'),TO_DATE('2019-06-15', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00017');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00016','BOOKFINE','CONDITION',TO_DATE('2019-06-13', 'YYYY-MM-DD'),TO_DATE('2019-06-20', 'YYYY-MM-DD'),64.95,1.00,63.95,'SETTLED','PY00018');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00017','BOOKFINE','CONDITION',TO_DATE('2019-06-13', 'YYYY-MM-DD'),TO_DATE('2019-06-20', 'YYYY-MM-DD'),5.42,1.00,4.42,'SETTLED','PY00019');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00018','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2019-06-20', 'YYYY-MM-DD'),TO_DATE('2019-06-27', 'YYYY-MM-DD'),20.39,3.00,17.39,'SETTLED','PY00021');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00019','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2019-07-09', 'YYYY-MM-DD'),TO_DATE('2019-07-16', 'YYYY-MM-DD'),14.80,0.00,14.80,'SETTLED','PY00022');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00020','BOOKFINE','CONDITION',TO_DATE('2019-07-12', 'YYYY-MM-DD'),TO_DATE('2019-07-19', 'YYYY-MM-DD'),17.55,3.00,14.55,'SETTLED','PY00023');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00021','ROOMFINE','CONDITION',TO_DATE('2019-07-15', 'YYYY-MM-DD'),TO_DATE('2019-07-22', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00024');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00022','BOOKFINE','CONDITION',TO_DATE('2019-07-18', 'YYYY-MM-DD'),TO_DATE('2019-07-25', 'YYYY-MM-DD'),17.34,1.00,16.34,'SETTLED','PY00025');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00023','ROOMFINE','CONDITION',TO_DATE('2019-07-19', 'YYYY-MM-DD'),TO_DATE('2019-07-26', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00026');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00024','BOOKFINE','CONDITION',TO_DATE('2019-07-22', 'YYYY-MM-DD'),TO_DATE('2019-07-29', 'YYYY-MM-DD'),4.35,3.00,1.35,'SETTLED','PY00028');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00025','ROOMFINE','CONDITION',TO_DATE('2019-08-21', 'YYYY-MM-DD'),TO_DATE('2019-08-28', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00030');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00026','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2019-09-10', 'YYYY-MM-DD'),TO_DATE('2019-09-17', 'YYYY-MM-DD'),13.14,3.00,10.14,'SETTLED','PY00031');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00027','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2019-09-22', 'YYYY-MM-DD'),TO_DATE('2019-09-29', 'YYYY-MM-DD'),86.26,3.00,83.26,'SETTLED','PY00032');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00028','ROOMFINE','CONDITION',TO_DATE('2019-09-22', 'YYYY-MM-DD'),TO_DATE('2019-09-29', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00033');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00029','BOOKFINE','OVERDUE',TO_DATE('2019-09-24', 'YYYY-MM-DD'),TO_DATE('2019-10-01', 'YYYY-MM-DD'),4.00,1.00,3.00,'SETTLED','PY00034');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00030','ROOMFINE','CONDITION',TO_DATE('2019-09-29', 'YYYY-MM-DD'),TO_DATE('2019-10-06', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00035');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00031','ROOMFINE','CONDITION',TO_DATE('2019-10-18', 'YYYY-MM-DD'),TO_DATE('2019-10-25', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00036');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00032','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2019-10-19', 'YYYY-MM-DD'),TO_DATE('2019-10-26', 'YYYY-MM-DD'),86.69,0.00,86.69,'SETTLED','PY00038');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00033','BOOKFINE','CONDITION',TO_DATE('2019-11-02', 'YYYY-MM-DD'),TO_DATE('2019-11-09', 'YYYY-MM-DD'),70.00,0.00,70.00,'SETTLED','PY00040');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00034','BOOKFINE','CONDITION',TO_DATE('2019-11-10', 'YYYY-MM-DD'),TO_DATE('2019-11-17', 'YYYY-MM-DD'),12.98,3.00,9.98,'SETTLED','PY00041');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00035','ROOMFINE','CONDITION',TO_DATE('2019-11-10', 'YYYY-MM-DD'),TO_DATE('2019-11-17', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00045');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00036','BOOKFINE','CONDITION',TO_DATE('2019-11-16', 'YYYY-MM-DD'),TO_DATE('2019-11-23', 'YYYY-MM-DD'),5.04,1.00,4.04,'SETTLED','PY00042');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00037','ROOMFINE','CONDITION',TO_DATE('2019-11-25', 'YYYY-MM-DD'),TO_DATE('2019-12-02', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00043');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00038','BOOKFINE','OVERDUE',TO_DATE('2019-12-01', 'YYYY-MM-DD'),TO_DATE('2019-12-08', 'YYYY-MM-DD'),3.00,3.00,0.00,'WAIVED',NULL);
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00039','BOOKFINE','CONDITION',TO_DATE('2019-12-08', 'YYYY-MM-DD'),TO_DATE('2019-12-15', 'YYYY-MM-DD'),86.48,3.00,83.48,'SETTLED','PY00048');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00040','ROOMFINE','CONDITION',TO_DATE('2019-12-09', 'YYYY-MM-DD'),TO_DATE('2019-12-16', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00049');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00041','ROOMFINE','CONDITION',TO_DATE('2020-03-05', 'YYYY-MM-DD'),TO_DATE('2020-03-12', 'YYYY-MM-DD'),100.00,3.00,97.00,'SETTLED','PY00052');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00042','ROOMFINE','CONDITION',TO_DATE('2020-03-13', 'YYYY-MM-DD'),TO_DATE('2020-03-20', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00053');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00043','ROOMFINE','CONDITION',TO_DATE('2020-03-20', 'YYYY-MM-DD'),TO_DATE('2020-03-27', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00054');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00044','ROOMFINE','CONDITION',TO_DATE('2020-03-25', 'YYYY-MM-DD'),TO_DATE('2020-04-01', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00055');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00045','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2020-05-02', 'YYYY-MM-DD'),TO_DATE('2020-05-09', 'YYYY-MM-DD'),15.11,1.00,14.11,'SETTLED','PY00059');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00046','BOOKFINE','CONDITION',TO_DATE('2020-05-08', 'YYYY-MM-DD'),TO_DATE('2020-05-15', 'YYYY-MM-DD'),68.54,0.00,68.54,'SETTLED','PY00060');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00047','BOOKFINE','CONDITION',TO_DATE('2020-05-08', 'YYYY-MM-DD'),TO_DATE('2020-05-15', 'YYYY-MM-DD'),11.14,0.00,11.14,'SETTLED','PY00061');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00048','ROOMFINE','CONDITION',TO_DATE('2020-05-20', 'YYYY-MM-DD'),TO_DATE('2020-05-27', 'YYYY-MM-DD'),100.00,3.00,97.00,'SETTLED','PY00063');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00049','ROOMFINE','CONDITION',TO_DATE('2020-06-10', 'YYYY-MM-DD'),TO_DATE('2020-06-17', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00064');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00050','ROOMFINE','CONDITION',TO_DATE('2020-06-15', 'YYYY-MM-DD'),TO_DATE('2020-06-22', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00065');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00051','BOOKFINE','CONDITION',TO_DATE('2020-06-16', 'YYYY-MM-DD'),TO_DATE('2020-06-23', 'YYYY-MM-DD'),12.39,5.00,7.39,'SETTLED','PY00066');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00052','BOOKFINE','CONDITION',TO_DATE('2020-06-23', 'YYYY-MM-DD'),TO_DATE('2020-06-30', 'YYYY-MM-DD'),5.36,5.00,0.36,'SETTLED','PY00067');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00053','BOOKFINE','CONDITION',TO_DATE('2020-06-23', 'YYYY-MM-DD'),TO_DATE('2020-06-30', 'YYYY-MM-DD'),11.17,5.00,6.17,'SETTLED','PY00068');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00054','ROOMFINE','CONDITION',TO_DATE('2020-07-05', 'YYYY-MM-DD'),TO_DATE('2020-07-12', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00069');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00055','BOOKFINE',NULL,TO_DATE('2020-09-12', 'YYYY-MM-DD'),TO_DATE('2020-09-19', 'YYYY-MM-DD'),0.00,0.00,0.00,'CANCELLED',NULL);
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00056','BOOKFINE','CONDITION',TO_DATE('2020-09-12', 'YYYY-MM-DD'),TO_DATE('2020-09-19', 'YYYY-MM-DD'),93.62,5.00,88.62,'SETTLED','PY00074');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00057','ROOMFINE','CONDITION',TO_DATE('2020-09-15', 'YYYY-MM-DD'),TO_DATE('2020-09-22', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00076');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00058','ROOMFINE','CONDITION',TO_DATE('2020-09-20', 'YYYY-MM-DD'),TO_DATE('2020-09-27', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00079');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00059','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2020-09-22', 'YYYY-MM-DD'),TO_DATE('2020-09-29', 'YYYY-MM-DD'),8.73,5.00,3.73,'SETTLED','PY00080');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00060','ROOMFINE','CONDITION',TO_DATE('2020-10-03', 'YYYY-MM-DD'),TO_DATE('2020-10-10', 'YYYY-MM-DD'),100.00,3.00,97.00,'SETTLED','PY00081');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00061','ROOMFINE','CONDITION',TO_DATE('2020-10-05', 'YYYY-MM-DD'),TO_DATE('2020-10-12', 'YYYY-MM-DD'),15.00,3.00,12.00,'SETTLED','PY00082');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00062','ROOMFINE','CONDITION',TO_DATE('2020-12-05', 'YYYY-MM-DD'),TO_DATE('2020-12-12', 'YYYY-MM-DD'),100.00,1.00,99.00,'SETTLED','PY00087');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00063','ROOMFINE','CONDITION',TO_DATE('2020-12-15', 'YYYY-MM-DD'),TO_DATE('2020-12-22', 'YYYY-MM-DD'),15.00,1.00,14.00,'SETTLED','PY00088');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00064','BOOKFINE','CONDITION',TO_DATE('2021-01-13', 'YYYY-MM-DD'),TO_DATE('2021-01-20', 'YYYY-MM-DD'),83.19,1.00,82.19,'SETTLED','PY00092');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00065','BOOKFINE','CONDITION',TO_DATE('2021-01-13', 'YYYY-MM-DD'),TO_DATE('2021-01-20', 'YYYY-MM-DD'),60.54,1.00,59.54,'SETTLED','PY00093');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00066','ROOMFINE','CONDITION',TO_DATE('2021-01-30', 'YYYY-MM-DD'),TO_DATE('2021-02-06', 'YYYY-MM-DD'),15.00,3.00,12.00,'SETTLED','PY00096');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00067','ROOMFINE','CONDITION',TO_DATE('2021-02-10', 'YYYY-MM-DD'),TO_DATE('2021-02-17', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00097');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00068','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2021-02-25', 'YYYY-MM-DD'),TO_DATE('2021-03-04', 'YYYY-MM-DD'),32.69,1.00,31.69,'SETTLED','PY00098');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00069','ROOMFINE','CONDITION',TO_DATE('2021-03-03', 'YYYY-MM-DD'),TO_DATE('2021-03-10', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00099');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00070','BOOKFINE','CONDITION',TO_DATE('2021-03-30', 'YYYY-MM-DD'),TO_DATE('2021-04-06', 'YYYY-MM-DD'),5.35,3.00,2.35,'SETTLED','PY00100');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00071','BOOKFINE','OVERDUE+CONDITION',TO_DATE('2021-04-14', 'YYYY-MM-DD'),TO_DATE('2021-04-21', 'YYYY-MM-DD'),9.10,1.00,8.10,'SETTLED','PY00103');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00072','ROOMFINE','CONDITION',TO_DATE('2021-05-15', 'YYYY-MM-DD'),TO_DATE('2021-05-22', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00108');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00073','ROOMFINE','CONDITION',TO_DATE('2021-05-20', 'YYYY-MM-DD'),TO_DATE('2021-05-27', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00110');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00074','ROOMFINE','CONDITION',TO_DATE('2021-05-30', 'YYYY-MM-DD'),TO_DATE('2021-06-06', 'YYYY-MM-DD'),100.00,1.00,99.00,'SETTLED','PY00112');
